example_id,metadata,relation_type,entity_1,entity_2,content,tagged_sentence
5305da48-b810-4fd8-a0b3-7520f89ff401,{'ID': '194_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,element,draught-proofed,"When installing or renovating thermal elements, the element being installed should be draught-proofed, and air-leakage gaps should be filled.","When installing or renovating thermal elements, the <e1>element</e1> being installed should be <e2>draught-proofed</e2>, and air-leakage gaps should be filled."
5305da48-b810-4fd8-a0b3-7520f89ff401,{'ID': '194_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,air-leakage gaps,filled,"When installing or renovating thermal elements, the element being installed should be draught-proofed, and air-leakage gaps should be filled.","When installing or renovating thermal elements, the element being installed should be draught-proofed, and <e1>air-leakage gaps</e1> should be <e2>filled</e2>."
533762d6-e592-494d-a08b-a0817b5b4f9f,{'ID': '50_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},necessity,cable routes,installed in all remaining associated parking spaces,"If there are associated parking spaces where there is not a requirement to install electric vehicle charge points, cable routes must be installed in all remaining associated parking spaces.","If there are associated parking spaces where there is not a requirement to install electric vehicle charge points, <e1>cable routes</e1> must be <e2>installed in all remaining associated parking spaces</e2>."
536b172d-ccd1-479a-8136-6ee05db0f264,{'ID': '205_UK_DocL_V1_ConsrvationOfFuelAndPower'},greater-equal,insulation,insulating performance,"Where pipework is above ground, the performance of the pipe insulation should be at least as high as the insulating performance of pipework in the buried part of the system.","Where pipework is above ground, the performance of the pipe <e1>insulation</e1> should be at least as high as the <e2>insulating performance</e2> of pipework in the buried part of the system."
53b7d989-c81f-4e01-a5ec-4b2cb30b4bfa,{'ID': '104_Finnish_FireSafety'},necessity,size,limited,The size of a fire compartment must be limited so that a fire igniting in the compartment does not cause unreasonably vast damages (compartmentation by area).,The <e1>size</e1> of a fire compartment must be <e2>limited</e2> so that a fire igniting in the compartment does not cause unreasonably vast damages (compartmentation by area).
53bb982d-5260-4a69-a6dd-71e4f074e676,{'ID': '111_Finnish_SafetyOfUse'},greater-equal,depth,half a metre,The depth of standing rows must be at least half a metre.,The <e1>depth</e1> of standing rows must be at least <e2>half a metre</e2>.
53e31e26-a39b-4047-a86e-bdb8021413e8,{'ID': '84_UK_DocO_Overheating'},less-equal,650mm,from the inside face of the wall,Window handles on windows that open outwards are not more than 650mm from the inside face of the wall when the window is at its maximum openable angle.,Window handles on windows that open outwards are not more than <e1>650mm</e1> <e2>from the inside face of the wall</e2> when the window is at its maximum openable angle.
54907849-c48f-4267-b5f0-fc7e9279da7c,{'ID': '409_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,energy performance,assessed,"For existing dwellings, when carrying out work on an existing system, such as installing or replacing components (e.g. replacing a boiler but retaining the pipework and heat emitters), the energy performance of the new components should be assessed.","For existing dwellings, when carrying out work on an existing system, such as installing or replacing components (e.g. replacing a boiler but retaining the pipework and heat emitters), the <e1>energy performance</e1> of the new components should be <e2>assessed</e2>."
549fd984-e319-47d9-9a86-4ea7f4cbf508,{'ID': '191_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,space,filled with solid material,The space between the air barrier and the insulation layer should be filled with solid material.,The <e1>space</e1> between the air barrier and the insulation layer should be <e2>filled with solid material</e2>.
54da8684-242a-4a73-8ce5-ee908a038299,{'ID': '96_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,passageways,"wide enough to allow people with buggies, people carrying cases or people on crutches to pass others on the access route","Corridors and passageways should be wide enough to allow people with buggies, people carrying cases or people on crutches to pass others on the access route.","Corridors and <e1>passageways</e1> should be <e2>wide enough to allow people with buggies, people carrying cases or people on crutches to pass others on the access route</e2>."
54da8684-242a-4a73-8ce5-ee908a038299,{'ID': '96_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,Corridors,"wide enough to allow people with buggies, people carrying cases or people on crutches to pass others on the access route","Corridors and passageways should be wide enough to allow people with buggies, people carrying cases or people on crutches to pass others on the access route.","<e1>Corridors</e1> and passageways should be <e2>wide enough to allow people with buggies, people carrying cases or people on crutches to pass others on the access route</e2>."
54f4e30f-d171-4156-ae87-7aed3541dd18,{'ID': '165_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,cavity closers,used for all construction types,Insulated cavity closers should be used for all construction types.,Insulated <e1>cavity closers</e1> should be <e2>used for all construction types</e2>.
5577528f-8fa0-4ca3-96f6-ea418091cb86,{'ID': '32_Finnish_SafetyOfUse'},greater,50 millimetres,width,The side edges of stairs and landings must be fitted with a raised camber to prevent slipping over the edge if a cube measuring more than 50 millimetres in width is able to pass through the opening between the plane level and the handrail or wall.,The side edges of stairs and landings must be fitted with a raised camber to prevent slipping over the edge if a cube measuring more than <e1>50 millimetres</e1> in <e2>width</e2> is able to pass through the opening between the plane level and the handrail or wall.
5577528f-8fa0-4ca3-96f6-ea418091cb86,{'ID': '32_Finnish_SafetyOfUse'},necessity,cube,able to pass through the opening between the plane level and the handrail or wall,The side edges of stairs and landings must be fitted with a raised camber to prevent slipping over the edge if a cube measuring more than 50 millimetres in width is able to pass through the opening between the plane level and the handrail or wall.,The side edges of stairs and landings must be fitted with a raised camber to prevent slipping over the edge if a <e1>cube</e1> measuring more than 50 millimetres in width is <e2>able to pass through the opening between the plane level and the handrail or wall</e2>.
5577528f-8fa0-4ca3-96f6-ea418091cb86,{'ID': '32_Finnish_SafetyOfUse'},necessity,side edges,fitted with a raised camber to prevent slipping over the edge,The side edges of stairs and landings must be fitted with a raised camber to prevent slipping over the edge if a cube measuring more than 50 millimetres in width is able to pass through the opening between the plane level and the handrail or wall.,The <e1>side edges</e1> of stairs and landings must be <e2>fitted with a raised camber to prevent slipping over the edge</e2> if a cube measuring more than 50 millimetres in width is able to pass through the opening between the plane level and the handrail or wall.
55d84237-8fad-4bd7-b67d-0745b9cc1e31,{'ID': '222_Finnish_FireSafety'},necessity,doors,easy to open in an emergency,"The doors of exits, and of areas leading to them, must be easy to open in an emergency.","The <e1>doors</e1> of exits, and of areas leading to them, must be <e2>easy to open in an emergency</e2>."
561480d1-56e5-41be-a56d-f2f2222bcb17,{'ID': '185_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,damage,repaired before boarding,"Any damage, such as tears, should be repaired before boarding.","Any <e1>damage</e1>, such as tears, should be <e2>repaired before boarding</e2>."
56166e36-b14b-4632-9767-70b71d335d9c,{'ID': '98_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,dwelling,feasibility of installing high-efficiency alternative systems,"When a dwelling undergoes a major renovation, the technical, environmental and economic feasibility of installing high-efficiency alternative systems should be considered.","When a <e1>dwelling</e1> undergoes a major renovation, the technical, environmental and economic <e2>feasibility of installing high-efficiency alternative systems</e2> should be considered."
563cd5fb-adc9-4bde-8b34-4accc93ac84b,{'ID': '331_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,cooling appliance,not be sized for more than 120 of the design cooling load,"Systems should not be significantly oversized in most circumstances, the cooling appliance should not be sized for more than 120 of the design cooling load.","Systems should not be significantly oversized in most circumstances, the <e1>cooling appliance</e1> should <e2>not be sized for more than 120 of the design cooling load</e2>."
563cd5fb-adc9-4bde-8b34-4accc93ac84b,{'ID': '331_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,Systems,not be significantly oversized in most circumstances,"Systems should not be significantly oversized in most circumstances, the cooling appliance should not be sized for more than 120 of the design cooling load.","<e1>Systems</e1> should <e2>not be significantly oversized in most circumstances</e2>, the cooling appliance should not be sized for more than 120 of the design cooling load."
56517433-cf40-4b88-a9d4-18e61e0e9993,{'ID': '55_Finnish_Accessibility'},greater-equal,free space,800 millimetres,"In addition, on both sides of the toilet seat there shall be a free space of at least 800 millimetres.","In addition, on both sides of the toilet seat there shall be a <e1>free space</e1> of at least <e2>800 millimetres</e2>."
56517433-cf40-4b88-a9d4-18e61e0e9993,{'ID': '55_Finnish_Accessibility'},necessity,both sides,free space,"In addition, on both sides of the toilet seat there shall be a free space of at least 800 millimetres.","In addition, on <e1>both sides</e1> of the toilet seat there shall be a <e2>free space</e2> of at least 800 millimetres."
569c7958-b7d6-4b9c-9dd9-13307e95e59b,{'ID': '385_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,ductwork leakage tests,carried out,"For ducted systems that are served by fans with a design flow rate greater than 1m3/s, ductwork leakage tests should be carried out.","For ducted systems that are served by fans with a design flow rate greater than 1m3/s, <e1>ductwork leakage tests</e1> should be <e2>carried out</e2>."
569c7958-b7d6-4b9c-9dd9-13307e95e59b,{'ID': '385_UK_DocM_V2_AccessAndUseOfBuildings'},greater,design flow rate,1m3/s,"For ducted systems that are served by fans with a design flow rate greater than 1m3/s, ductwork leakage tests should be carried out.","For ducted systems that are served by fans with a <e1>design flow rate</e1> greater than <e2>1m3/s</e2>, ductwork leakage tests should be carried out."
56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,{'ID': '73_Finnish_FireSafety'},greater,fire load,"1,200 MJ/m2","Storage premises with a fire load exceeding 1,200 MJ/m2 are not permitted within the building.","Storage premises with a <e1>fire load</e1> exceeding <e2>1,200 MJ/m2</e2> are not permitted within the building."
56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,{'ID': '73_Finnish_FireSafety'},necessity,Storage premises,not permitted within the building,"Storage premises with a fire load exceeding 1,200 MJ/m2 are not permitted within the building.","<e1>Storage premises</e1> with a fire load exceeding 1,200 MJ/m2 are <e2>not permitted within the building</e2>."
56b3f993-37b5-4cb1-9540-432972f8056e,{'ID': '99_Finnish_Health-IndoorClimateAndVentilation'},necessity,air handling units,withstand the loads caused by fan pressure while the shutoff dampers are closed,"In a mechanical ventilation system, the air handling units and chambers shall be able to withstand the loads caused by fan pressure while the shutoff dampers are closed.","In a mechanical ventilation system, the <e1>air handling units</e1> and chambers shall be able to <e2>withstand the loads caused by fan pressure while the shutoff dampers are closed</e2>."
56b3f993-37b5-4cb1-9540-432972f8056e,{'ID': '99_Finnish_Health-IndoorClimateAndVentilation'},necessity,chambers,withstand the loads caused by fan pressure while the shutoff dampers are closed,"In a mechanical ventilation system, the air handling units and chambers shall be able to withstand the loads caused by fan pressure while the shutoff dampers are closed.","In a mechanical ventilation system, the air handling units and <e1>chambers</e1> shall be able to <e2>withstand the loads caused by fan pressure while the shutoff dampers are closed</e2>."
57f7bbad-51b7-4627-8fe9-2d7a50289448,{'ID': '64_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,Doors,"accessible to all, particularly wheelchair users and people with limited physical dexterity","Doors to the principal, or alternative accessible, entrance should be accessible to all, particularly wheelchair users and people with limited physical dexterity.","<e1>Doors</e1> to the principal, or alternative accessible, entrance should be <e2>accessible to all, particularly wheelchair users and people with limited physical dexterity</e2>."
5869233a-4fc0-48bf-9007-2b0c9a169fef,{'ID': '100_Finnish_FireSafety'},necessity,building,divided into fire compartments,"A building shall, if its size, number of storeys or an intended purpose of a premises within the building so requires, be divided into fire compartments in order to restrict the spread of fire and smoke, to provide safe evacuation and to facilitate rescue and extinguishing measures.","A <e1>building</e1> shall, if its size, number of storeys or an intended purpose of a premises within the building so requires, be <e2>divided into fire compartments</e2> in order to restrict the spread of fire and smoke, to provide safe evacuation and to facilitate rescue and extinguishing measures."
588857f5-9281-4c32-8d83-c98230d5b934,{'ID': '146_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,boards,considered,The use of boards with lapped or tongue and groove edges should be considered.,The use of <e1>boards</e1> with lapped or tongue and groove edges should be <e2>considered</e2>.
590ab551-79e8-42f5-bc52-749f8899c088,{'ID': '242_Finnish_FireSafety'},necessity,Extinguishing routes,arranged,Extinguishing routes to basement storeys shall be arranged so that basement storeys can be reached from the ground level without a need to pass through the exits of the storeys.,<e1>Extinguishing routes</e1> to basement storeys shall be <e2>arranged</e2> so that basement storeys can be reached from the ground level without a need to pass through the exits of the storeys.
5925ca4d-801c-42e4-b581-a176dea2519f,{'ID': '76_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,CO2 emission factor,calculated,"If thermal energy is supplied from a district heat network, a CO2 emission factor and primary energy factor for the heat delivered to the dwelling by the district heat network should be calculated.","If thermal energy is supplied from a district heat network, a <e1>CO2 emission factor</e1> and primary energy factor for the heat delivered to the dwelling by the district heat network should be <e2>calculated</e2>."
5925ca4d-801c-42e4-b581-a176dea2519f,{'ID': '76_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,primary energy factor,calculated,"If thermal energy is supplied from a district heat network, a CO2 emission factor and primary energy factor for the heat delivered to the dwelling by the district heat network should be calculated.","If thermal energy is supplied from a district heat network, a CO2 emission factor and <e1>primary energy factor</e1> for the heat delivered to the dwelling by the district heat network should be <e2>calculated</e2>."
5962048f-577c-408a-be59-cbf79bd74630,{'ID': '7_UK_DocM_V1_AccessAndUseOfBuildings'},necessity,Requirements,balanced against preserving historic buildings or environments,Requirements for accessibility should be balanced against preserving historic buildings or environments.,<e1>Requirements</e1> for accessibility should be <e2>balanced against preserving historic buildings or environments</e2>.
596cc55c-f50f-4155-962f-832b87226a8e,{'ID': '23_UK_DocF_V1_Ventilation'},necessity,fans,not overly noisy,"For mechanical ventilation systems, fan units should be appropriately sized so that fans operating in normal background ventilation mode are not overly noisy.","For mechanical ventilation systems, fan units should be appropriately sized so that <e1>fans</e1> operating in normal background ventilation mode are <e2>not overly noisy</e2>."
596cc55c-f50f-4155-962f-832b87226a8e,{'ID': '23_UK_DocF_V1_Ventilation'},necessity,fan units,appropriately sized,"For mechanical ventilation systems, fan units should be appropriately sized so that fans operating in normal background ventilation mode are not overly noisy.","For mechanical ventilation systems, <e1>fan units</e1> should be <e2>appropriately sized</e2> so that fans operating in normal background ventilation mode are not overly noisy."
5aebe4f8-6ca6-4448-94db-5272b5541efb,{'ID': '359_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,results,reported to the building control body,"The results of all pressure tests on dwellings, including any test failures, should be reported to the building control body.","The <e1>results</e1> of all pressure tests on dwellings, including any test failures, should be <e2>reported to the building control body</e2>."
5afbc8c9-4c2e-4cb8-8945-24e184d161e1,{'ID': '201_UK_DocF_V1_Ventilation'},necessity,fan,speed,The fan should be set at a speed that will approximately achieve the desired continuous flow rate.,The <e1>fan</e1> should be set at a <e2>speed</e2> that will approximately achieve the desired continuous flow rate.
5b1fe636-d2aa-4382-885e-a4f8a2cae4d4,{'ID': '125_UK_DocL_V1_ConsrvationOfFuelAndPower'},less-equal,U-value,0.7W/(m2K),"Generally, a thermal element once upgraded should not have a U-value greater than 0.7W/(m2K).","Generally, a thermal element once upgraded should not have a <e1>U-value</e1> greater than <e2>0.7W/(m2K)</e2>."
5b4380ba-0066-4735-a362-316d4c8e70b2,{'ID': '73_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},necessity,building,parking spaces,"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.","Where a <e1>building</e1> undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 <e2>parking spaces</e2> after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces."
5b4380ba-0066-4735-a362-316d4c8e70b2,{'ID': '73_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},equal,one,parking spaces,"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.","Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) <e1>one</e1> of those <e2>parking spaces</e2> must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces."
5b4380ba-0066-4735-a362-316d4c8e70b2,{'ID': '73_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},necessity,parking spaces,access to one electric vehicle charge point,"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.","Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those <e1>parking spaces</e1> must have <e2>access to one electric vehicle charge point</e2>; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces."
5b4380ba-0066-4735-a362-316d4c8e70b2,{'ID': '73_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},greater,10,parking spaces,"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.","Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than <e1>10</e1> <e2>parking spaces</e2> after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces."
5b4380ba-0066-4735-a362-316d4c8e70b2,{'ID': '73_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},necessity,cable routes,installed in a minimum of one fifth of the total number of remaining parking spaces,"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.","Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) <e1>cable routes</e1> for electric vehicle charge points must be <e2>installed in a minimum of one fifth of the total number of remaining parking spaces</e2>."
5ba5ffe7-ece8-488a-b461-da66237e7888,{'ID': '54_UK_DocM_V1_AccessAndUseOfBuildings'},necessity,walls,"strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2","All walls, ducts and boxings to the WC/cloakroom, bathroom and shower room should be strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2.","All <e1>walls</e1>, ducts and boxings to the WC/cloakroom, bathroom and shower room should be <e2>strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2</e2>."
5ba5ffe7-ece8-488a-b461-da66237e7888,{'ID': '54_UK_DocM_V1_AccessAndUseOfBuildings'},necessity,ducts,"strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2","All walls, ducts and boxings to the WC/cloakroom, bathroom and shower room should be strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2.","All walls, <e1>ducts</e1> and boxings to the WC/cloakroom, bathroom and shower room should be <e2>strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2</e2>."
5ba5ffe7-ece8-488a-b461-da66237e7888,{'ID': '54_UK_DocM_V1_AccessAndUseOfBuildings'},necessity,boxings,"strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2","All walls, ducts and boxings to the WC/cloakroom, bathroom and shower room should be strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2.","All walls, ducts and <e1>boxings</e1> to the WC/cloakroom, bathroom and shower room should be <e2>strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2</e2>."
5ca184fa-e100-4f97-957d-e37ae944786f,{'ID': '51_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},less-equal,cost,7%,The cost of installing electric vehicle charge points and cable routes is not more than 7% of the total capital cost of the major renovation.,The <e1>cost</e1> of installing electric vehicle charge points and cable routes is not more than <e2>7%</e2> of the total capital cost of the major renovation.
5ca6b3d3-fd21-4cc1-8dd8-185268db6615,{'ID': '26_UK_DocQ_Security_Dwellings'},greater-equal,density,600kg/m3,The doorset should be manufactured from solid or laminated timber with a minimum density of 600kg/m3.,The doorset should be manufactured from solid or laminated timber with a minimum <e1>density</e1> of <e2>600kg/m3</e2>.
5ca6b3d3-fd21-4cc1-8dd8-185268db6615,{'ID': '26_UK_DocQ_Security_Dwellings'},necessity,doorset,timber,The doorset should be manufactured from solid or laminated timber with a minimum density of 600kg/m3.,The <e1>doorset</e1> should be manufactured from solid or laminated <e2>timber</e2> with a minimum density of 600kg/m3.
5ddf9b8d-87fb-4fc4-9b38-4ff91008cfdf,{'ID': '464_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,energy savings,estimated using the Standard Assessment Procedure,The annual energy savings should be estimated using the Standard Assessment Procedure.,The annual <e1>energy savings</e1> should be <e2>estimated using the Standard Assessment Procedure</e2>.
5e226793-2805-41b0-bcb6-49319afaefc7,{'ID': '258_UK_DocM_V2_AccessAndUseOfBuildings'},greater,floor area,150m2,"If the building has a floor area greater than 150m2, heating should be split into different heating zones and each zone should have separate controls for timing and temperature demand.","If the building has a <e1>floor area</e1> greater than <e2>150m2</e2>, heating should be split into different heating zones and each zone should have separate controls for timing and temperature demand."
5e226793-2805-41b0-bcb6-49319afaefc7,{'ID': '258_UK_DocM_V2_AccessAndUseOfBuildings'},necessity,heating,split into different heating zones and each zone should have separate controls for timing and temperature demand,"If the building has a floor area greater than 150m2, heating should be split into different heating zones and each zone should have separate controls for timing and temperature demand.","If the building has a floor area greater than 150m2, <e1>heating</e1> should be <e2>split into different heating zones and each zone should have separate controls for timing and temperature demand</e2>."
5e51b653-449e-4d00-be19-0e20ecff5c49,{'ID': '213_UK_DocM_V2_AccessAndUseOfBuildings'},equal,condition,off,The default condition should be off.,The default <e1>condition</e1> should be <e2>off</e2>.
5e7d4831-4ec8-48f9-9e60-0422fcc1eae4,{'ID': '344_UK_DocL_V1_ConsrvationOfFuelAndPower'},greater-equal,installed generation capacity,that,"When replacing an existing system, the installed generation capacity of the new system should be no less than that of the existing system, except where a smaller system can be demonstrated to be more appropriate or effective (e.g. replacing an existing system with one which is better matched to the dwelling's energy demand).","When replacing an existing system, the <e1>installed generation capacity</e1> of the new system should be no less than <e2>that</e2> of the existing system, except where a smaller system can be demonstrated to be more appropriate or effective (e.g. replacing an existing system with one which is better matched to the dwelling's energy demand)."
5ebe90af-93ee-4d92-96fd-44b674d5e1a5,{'ID': '335_UK_DocL_V1_ConsrvationOfFuelAndPower'},necessity,Systems,designed,Systems should be designed so that they can be commissioned to suitable ventilation rates so that spaces are not significantly over-ventilated.,<e1>Systems</e1> should be <e2>designed</e2> so that they can be commissioned to suitable ventilation rates so that spaces are not significantly over-ventilated.
5ed671ca-0cd0-47e2-ad68-1d910e5ddbdf,{'ID': '114_Finnish_SafetyOfUse'},necessity,access route,directly accessible from the end of each row,The access route in the seating area or standing auditorium must be directly accessible from the end of each row.,The <e1>access route</e1> in the seating area or standing auditorium must be <e2>directly accessible from the end of each row</e2>.
5f675f4f-74de-4d0f-ae92-c3500d2d952e,{'ID': '189_UK_DocF_V1_Ventilation'},necessity,equivalent area,recorded,The actual equivalent area and location of installed background ventilators should be recorded.,The actual <e1>equivalent area</e1> and location of installed background ventilators should be <e2>recorded</e2>.
5f675f4f-74de-4d0f-ae92-c3500d2d952e,{'ID': '189_UK_DocF_V1_Ventilation'},necessity,location,recorded,The actual equivalent area and location of installed background ventilators should be recorded.,The actual equivalent area and <e1>location</e1> of installed background ventilators should be <e2>recorded</e2>.
5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,{'ID': '105_Finnish_EnergyEfficiency'},necessity,50,added to the thermal load of the spaces of the building,"If  the  domestic  hot  water cylinder  is  located  inside  the  building  envelope,  50  of  the  calculated  domestic  hot  water cylinder heat loss shall be added to the thermal load of the spaces of the building.","If the domestic hot water cylinder is located inside the building envelope, <e1>50</e1> of the calculated domestic hot water cylinder heat loss shall be <e2>added to the thermal load of the spaces of the building</e2>."
5fa7daca-cb50-4397-a736-617e52d30187,{'ID': '246_UK_DocM_V2_AccessAndUseOfBuildings'},less,efficiencies,30%,"If efficiencies at below 30% are required and unavailable, the boiler efficiency may be taken as equal to that at 30% load.","If <e1>efficiencies</e1> at below <e2>30%</e2> are required and unavailable, the boiler efficiency may be taken as equal to that at 30% load."
5fa7daca-cb50-4397-a736-617e52d30187,{'ID': '246_UK_DocM_V2_AccessAndUseOfBuildings'},equal,efficiencies,boiler efficiency,"If efficiencies at below 30% are required and unavailable, the boiler efficiency may be taken as equal to that at 30% load.","If <e1>efficiencies</e1> at below 30% are required and unavailable, the <e2>boiler efficiency</e2> may be taken as equal to that at 30% load."
5fa7daca-cb50-4397-a736-617e52d30187,{'ID': '246_UK_DocM_V2_AccessAndUseOfBuildings'},equal,boiler efficiency,30% load,"If efficiencies at below 30% are required and unavailable, the boiler efficiency may be taken as equal to that at 30% load.","If efficiencies at below 30% are required and unavailable, the <e1>boiler efficiency</e1> may be taken as equal to that at <e2>30% load</e2>."
5fe7997a-7e99-485c-89b3-7912d7c8d44d,{'ID': '199_UK_DocF_V1_Ventilation'},necessity,speed,increased,"If the total flow rate cannot be achieved through all the terminals, then the fan speed should be increased.","If the total flow rate cannot be achieved through all the terminals, then the fan <e1>speed</e1> should be <e2>increased</e2>."
60024014-cb6a-4a53-9b12-9497e0a1e5e8,{'ID': '85_Finnish_Health-IndoorClimateAndVentilation'},necessity,Extract air,conducted to vertical ducts,"Extract air from toilets, washrooms and cleaning spaces may be conducted to vertical ducts for extract air categories 1 and 2 if the total extract air flow from these spaces does not exceed 10 of the total air flow in the vertical duct.","<e1>Extract air</e1> from toilets, washrooms and cleaning spaces may be <e2>conducted to vertical ducts</e2> for extract air categories 1 and 2 if the total extract air flow from these spaces does not exceed 10 of the total air flow in the vertical duct."
60024014-cb6a-4a53-9b12-9497e0a1e5e8,{'ID': '85_Finnish_Health-IndoorClimateAndVentilation'},less-equal,total extract air flow,10,"Extract air from toilets, washrooms and cleaning spaces may be conducted to vertical ducts for extract air categories 1 and 2 if the total extract air flow from these spaces does not exceed 10 of the total air flow in the vertical duct.","Extract air from toilets, washrooms and cleaning spaces may be conducted to vertical ducts for extract air categories 1 and 2 if the <e1>total extract air flow</e1> from these spaces does not exceed <e2>10</e2> of the total air flow in the vertical duct."
60024014-cb6a-4a53-9b12-9497e0a1e5e8,{'ID': '85_Finnish_Health-IndoorClimateAndVentilation'},equal,extract air categories,2,"Extract air from toilets, washrooms and cleaning spaces may be conducted to vertical ducts for extract air categories 1 and 2 if the total extract air flow from these spaces does not exceed 10 of the total air flow in the vertical duct.","Extract air from toilets, washrooms and cleaning spaces may be conducted to vertical ducts for <e1>extract air categories</e1> 1 and <e2>2</e2> if the total extract air flow from these spaces does not exceed 10 of the total air flow in the vertical duct."
60024014-cb6a-4a53-9b12-9497e0a1e5e8,{'ID': '85_Finnish_Health-IndoorClimateAndVentilation'},equal,extract air categories,1,"Extract air from toilets, washrooms and cleaning spaces may be conducted to vertical ducts for extract air categories 1 and 2 if the total extract air flow from these spaces does not exceed 10 of the total air flow in the vertical duct.","Extract air from toilets, washrooms and cleaning spaces may be conducted to vertical ducts for <e1>extract air categories</e1> <e2>1</e2> and 2 if the total extract air flow from these spaces does not exceed 10 of the total air flow in the vertical duct."
